                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2488,                 1.6471,                 1.6714,                0.42503,                0.85822,                0.54088,                0.36722,                 1.1933,                 1.2786,                 1.7549,             0.00092952,             0.00092952,             0.00092952
                     35,                 1.2641,                 1.6422,                 1.6912,                0.36372,                 0.8448,                0.50755,                 0.3372,                 1.1946,                 1.3235,                   1.76,             0.00092402,             0.00092402,             0.00092402
                     36,                 1.2534,                 1.6011,                 1.6609,                0.43423,                0.85468,                0.56875,                0.39618,                 1.1571,                 1.2885,                 1.7032,             0.00091852,             0.00091852,             0.00091852
                     37,                 1.2228,                 1.6013,                 1.6524,                0.38702,                0.86045,                0.58159,                0.41001,                 1.0691,                 1.2564,                 1.6294,             0.00091302,             0.00091302,             0.00091302
                     38,                 1.2027,                 1.6091,                 1.6353,                0.34688,                0.86741,                0.54486,                0.35223,                 1.3365,                 1.3109,                 1.8919,             0.00090752,             0.00090752,             0.00090752
                     39,                 1.2399,                  1.616,                 1.6601,                0.32319,                 0.8602,                0.43958,                0.26768,                 1.3069,                 1.5627,                 1.8994,             0.00090202,             0.00090202,             0.00090202
                     40,                 1.2371,                 1.5676,                 1.6406,                0.36672,                0.86704,                0.54323,                0.36345,                 1.3312,                  1.303,                 1.9008,             0.00089652,             0.00089652,             0.00089652
                     41,                 1.2067,                 1.5582,                 1.6111,                 0.5531,                0.70504,                0.52853,                0.37196,                 1.0393,                 1.2769,                 1.5571,             0.00089102,             0.00089102,             0.00089102
                     42,                 1.2168,                   1.57,                 1.6013,                0.34481,                 0.8572,                0.45741,                0.29091,                 1.2501,                 1.3518,                 1.8132,             0.00088552,             0.00088552,             0.00088552
                     43,                 1.2198,                 1.5603,                 1.6401,                0.31381,                0.75648,                0.39772,                0.27462,                 1.1026,                 1.6696,                 1.6485,             0.00088002,             0.00088002,             0.00088002
                     44,                  1.178,                  1.529,                 1.5832,                0.33287,                0.75246,                0.41484,                0.29281,                 1.0948,                 1.8682,                 1.6642,             0.00087452,             0.00087452,             0.00087452
                     45,                 1.1948,                 1.5377,                 1.6051,                0.38312,                0.83557,                0.51287,                0.35577,                 1.0678,                  1.254,                 1.5967,             0.00086902,             0.00086902,             0.00086902
